N	B	mode	wMC	wLC	wTMC	wLHC	wLMC	wLRC	wLRDC	wMFC	rMC	rLC	rLHC	rLMC	rLRC	rLRDC
1	1	0	164801	164801	0	147920	16881	8723	8575	4830	695333	695333	664759	30574	30540	27800
1	1	1	164801	0	180740	163859	16881	8723	0	0	695333	695333	664759	30574	30540	0
1	1	2	164801	0	180740	163726	17014	0	0	0	695333	695333	664808	30525	22346	0
1	2	0	164801	164801	0	156300	8501	4424	4307	2375	695333	695333	671489	23844	23825	22198
1	2	1	164801	0	180740	172239	8501	4424	0	0	695333	695333	671489	23844	23825	0
1	2	2	164801	0	180740	163692	17048	0	0	0	695333	695333	671536	23797	19701	0
1	4	0	164801	164801	0	160479	4322	2284	2173	1107	695333	695333	674743	20590	20580	19443
1	4	1	164801	0	180740	176418	4322	2284	0	0	695333	695333	674743	20590	20580	0
1	4	2	164801	0	180740	163665	17075	0	0	0	695333	695333	674809	20524	18476	0
1	8	0	164801	164801	0	162505	2296	1278	1123	471	695333	695333	676226	19107	19101	18185
1	8	1	164801	0	180740	178444	2296	1278	0	0	695333	695333	676226	19107	19101	0
1	8	2	164801	0	180740	163579	17161	0	0	0	695333	695333	676345	18988	17964	0
2	1	0	164801	164801	0	135000	29801	21640	12455	6338	695333	695333	655585	39748	38200	30373
2	1	1	164801	0	180740	150726	30014	21853	0	0	695333	695333	655589	39744	38196	0
2	1	2	164801	0	180740	151758	28982	0	0	0	695333	695333	655958	39375	29679	0
2	2	0	164801	164801	0	142634	22167	18087	8840	3666	695333	695333	661330	34003	33197	24459
2	2	1	164801	0	180740	158298	22442	18362	0	0	695333	695333	660129	35204	34398	0
2	2	2	164801	0	180740	151573	29167	0	0	0	695333	695333	659692	35641	30755	0
2	4	0	164801	164801	0	154374	10427	8387	7170	1796	695333	695333	671680	23653	23212	13802
2	4	1	164801	0	180740	169993	10747	8707	0	0	695333	695333	671678	23655	23214	0
2	4	2	164801	0	180740	159547	21193	0	0	0	695333	695333	671294	24039	21559	0
2	8	0	164801	164801	0	155699	9102	8081	6807	887	695333	695333	671523	23810	23552	12191
2	8	1	164801	0	180740	171328	9412	8391	0	0	695333	695333	671519	23814	23556	0
2	8	2	164801	0	180740	159091	21649	0	0	0	695333	695333	671851	23482	22204	0
4	1	0	164801	164801	0	133550	31251	23087	10662	7539	695333	695333	654896	40437	38656	29935
4	1	1	164801	0	180740	149022	31718	23554	0	0	695333	695333	653317	42016	40235	0
4	1	2	164801	0	180740	147823	32917	0	0	0	695333	695333	652488	42845	32913	0
4	2	0	164801	164801	0	140886	23915	19832	6750	3945	695333	695333	657195	38138	37227	25929
4	2	1	164801	0	180740	156309	24431	20348	0	0	695333	695333	657204	38129	37218	0
4	2	2	164801	0	180740	147317	33423	0	0	0	695333	695333	656060	39273	34279	0
4	4	0	164801	164801	0	152617	12184	10140	4563	2035	695333	695333	666525	28808	28340	16223
4	4	1	164801	0	180740	167831	12909	10865	0	0	695333	695333	666524	28809	28341	0
4	4	2	164801	0	180740	154911	25829	0	0	0	695333	695333	665460	29873	27362	0
4	8	0	164801	164801	0	153241	11560	10536	3600	1014	695333	695333	663780	31553	31308	15748
4	8	1	164801	0	180740	167972	12768	11744	0	0	695333	695333	667633	27700	27455	0
4	8	2	164801	0	180740	153623	27117	0	0	0	695333	695333	664196	31137	29869	0
8	1	0	164801	164801	0	132424	32377	24219	10235	7182	695333	695333	656189	39144	39109	30774
8	1	1	164801	0	180740	147405	33335	25177	0	0	695333	695333	655641	39692	39657	0
8	1	2	164801	0	180740	146540	34200	0	0	0	695333	695333	656323	39010	30821	0
8	2	0	164801	164801	0	145928	18873	14796	6089	3673	695333	695333	666006	29327	29307	20653
8	2	1	164801	0	180740	161017	19723	15646	0	0	695333	695333	666114	29219	29199	0
8	2	2	164801	0	180740	152251	28489	0	0	0	695333	695333	667237	28096	23999	0
8	4	0	164801	164801	0	150699	14102	12064	3910	1821	695333	695333	669948	25385	25374	16841
8	4	1	164801	0	180740	165809	14931	12893	0	0	695333	695333	669476	25857	25846	0
8	4	2	164801	0	180740	152939	27801	0	0	0	695333	695333	671059	24274	22225	0
8	8	0	164801	164801	0	150171	14630	13612	2879	919	695333	695333	669956	25377	25370	16200
8	8	1	164801	0	180740	164853	15887	14869	0	0	695333	695333	668992	26341	26334	0
8	8	2	164801	0	180740	150786	29954	0	0	0	695333	695333	671102	24231	23206	0
Time took in Minutes : 1.516667
